id,symbol,group,period,family,english,german,french,spanish,italian,mass,density,radius,conductivity,sp_heat,th_conductivity,Notes,source,color,characteristics,uses,toxic,state,half_life
1,H,1,1,NonMetal,hydrogen,Wasserstoff,hydrogène,hidrógeno,idrogeno,1.008,6.99E-05,0.79,,14.304,0.1815,,"Water, methane",colorless,"diatomic,dens<air at r.t.",rocket fuel,,g,Stable
2,He,18,1,Noble,helium,Helium,hélium,helio,elio,4.003,0.000179,0.49,,5.193,0.152,,"Natural gas, air",colorless,"Inert, dens<air at r.t.","cryogenics, blimps",FALSE,g,Stable
3,Li,1,2,Alkali,lithium,Lithium,lithium,litio,litio,6.968,0.543,2.05,0.108,3.6,84.7,,Spodumene (silicate),silvery,"soft, lightest solid","batteries, lubricant",,s,Stable
4,Be,2,2,Alkaline,beryllium,Beryllium,béryllium,berilio,berillio,9.012,1.85,1.4,0.313,1.82,200,,Beryl (silicate),steel gray,toxic,"Cu alloys, X-ray windows",TRUE,s,Stable
5,B,13,2,Semimetal,boron,Bor,bore,boro,boro,10.81,2.34,1.17,1E-12,1.02,27,sublimes,Na and Ca borates (misc),black,B12 icosahedra, 3 forms,"borax, glass making(B2O3)",s,Stable
6,C,14,2,NonMetal,carbon,Kohlenlstoff,carbone,carbono,carbonio,12.01,2.25,0.91,0.00061,0.71,129,graphite,"Coal,Petroleum,Natural gas",black,"6 forms: graphite,diamond","fuel(coal), lubricant",,s,Stable
7,N,15,2,NonMetal,nitrogen,Stickstoff,azote,nitrógeno,azoto,14.01,0.00125,0.75,,1.04,0.02598,,Air,colorless,diatomic(N2),"fertilizer, cryogenics",FALSE,g,Stable
8,O,16,2,NonMetal,oxygen,Sauerstoff,oxygène,oxígeno,ossigeno,16,0.00143,0.65,,0.92,0.02674,,Air,colorless,"diatomic,2 forms: O2, O3","rocket fuel, steel mfr.",FALSE,g,Stable
9,F,17,2,Halogen,fluorine,Fluor,fluor,flúor,fluoro,19,0.0017,0.57,,0.82,0.0279,,Fluorite (misc),colorless,"diatomic(F2), corrosive","fluorocarbons, toothpaste",TRUE,g,Stable
10,Ne,18,2,Noble,neon,Neon,néon,neón,neon,20.18,0.0009,0.51,,0.904,0.0493,,Air,colorless,"Inert, dens<air at r.t.",Neon signs,FALSE,g,Stable
11,Na,1,3,Alkali,sodium,Natrium,sodium,sodio,sodio,22.99,0.971,2.23,0.21,1.23,141,,Halite (misc),silvery,soft,"lamps, table salt",,s,Stable
12,Mg,2,3,Alkaline,magnesium,Magnesium,magnésium,magnesio,magnesio,24.31,1.74,1.72,0.226,1.02,156,,"Seawater, magnesite",silvery,burns brightly,"alloys, flash bulbs",,s,Stable
13,Al,13,3,BasicMetal,aluminum,Aluminium,aluminium,aluminio,alluminio,26.98,2.7,1.82,0.377,0.9,237,,Bauxite (oxide),silvery,passivated: surface oxide,"Al cans & foil,reflectors",,s,Stable
14,Si,14,3,Semimetal,silicon,Silizium,silicium,silicio,silicio,28.09,2.33,1.46,2.52E-12,0.71,148,,Quartz (oxide),gray-black,semimetal,"comp chip,lubricant,glass",,s,Stable
15,P,15,3,NonMetal,phosphorus,Phosphor,phosphore,fósforo,fosforo,30.97,1.82,1.23,1E-17,0.77,0.235,white,Apatite (phosphate),white-yellow,"(P4) pyrophoric, 15 forms","fertilizer, detergents",TRUE,s,Stable
16,S,16,3,NonMetal,sulfur,Schwefel,soufre,azufre,zolfo,32.07,2.07,1.09,5E-24,0.71,0.269,yellow,"Sulfur,pyrite,natural gas",yellow(pale),"(S8)brittle, 19 forms","rubber, batteries (H2SO4)",,s,Stable
17,Cl,17,3,Halogen,chlorine,Chlor,chlore,cloro,cloro,35.45,0.00321,0.97,,0.48,0.0089,,"Halite, brine (misc)",greenish-yellow,"diatomic(Cl2), corrosive","bleach (NaOCl), PVC pipe",TRUE,g,Stable
18,Ar,18,3,Noble,argon,Argon,argon,argón,argo,39.95,0.00178,0.88,,0.52,0.01772,,Air,colorless,Inert,"lasers, light bulbs",FALSE,g,Stable
19,K,1,4,Alkali,potassium,Kalium,potassium,potasio,potassio,39.1,0.86,2.77,0.139,0.75,102.4,,"Sylvite, carnallite (misc)",silvery-white,soft,"fertilizer, low-Na salt",,s,Stable
20,Ca,2,4,Alkaline,calcium,Kalzium,calcium,calcio,calcio,40.08,1.55,2.23,0.298,0.63,200,,Calcite (oxide),silvery-white,burns brightly,"lime, cement",,s,Stable
21,Sc,3,4,Transition,scandium,Skandium,scandium,escandio,scandio,44.96,2.99,2.09,0.0177,0.6,15.8,,U extractn by-product,silvery-white,soft,no significant uses,,s,Stable
22,Ti,4,4,Transition,titanium,Titan,titane,titanio,titanio,47.87,4.54,2,0.0234,0.52,21.9,,"Ilmenite, rutile(oxide)",gray,max strength/weight ratio,"steel,white pigment(TiO2)",,s,Stable
23,V,5,4,Transition,vanadium,Vanadium,vanadium,vanadio,vanadio,50.94,6.11,1.92,0.0489,0.49,30.7,,"U, Pb vanadates (misc)",bright white,soft,"tool steel, V2O5 catalyst",TRUE,s,Stable
24,Cr,6,4,Transition,chromium,Chrom,chrome,cromo,cromo,52,7.19,1.85,0.0774,0.45,93.7,,Chromite (oxide),silvery-white,hard,"CrO2 tape, paint, steel",,s,Stable
25,Mn,7,4,Transition,manganese,Mangan,manganèse,manganeso,manganese,54.94,7.43,1.79,0.00695,0.48,7.82,,"Pyrolusite,psilomelane(oxide)",gray-white,"hard, brittle","steel, dry cells(MnO2)",,s,Stable
26,Fe,8,4,Transition,iron,Eisen,fer,hierro,ferro,55.85,7.86,1.72,0.0993,0.44,80.2,,"Hematite,magnetite(oxide)",gray,fairly soft when pure,steel,,s,Stable
27,Co,9,4,Transition,cobalt,Kobalt,cobalt,cobalto,cobalto,58.93,8.9,1.67,0.172,0.42,100,,Co sulfides & arsenides,bluish-white,hard,"magnets, Co glass (blue)",,s,Stable
28,Ni,10,4,Transition,nickel,Nickel,nickel,níquel,nichelio,58.69,8.9,1.62,0.143,0.44,90.7,,"sulfides, oxide/silicates",silvery-white,"hard, takes a high polish","alloys, coins, batteries",TRUE,s,Stable
29,Cu,11,4,Transition,copper,Kupfer,cuivre,cobre,rame,63.55,8.96,1.57,0.596,0.38,401,,"Cu pyrite,chalcocite(sulfide)",orange-red,"soft, ductile","wire, bronze, coins",,s,Stable
